item_category_name,item_category_id,translated_item_category_name
PC - Гарнитуры/Наушники,0,PC - Headset / Headphones
Аксессуары - PS2,1,Accessories - PS2.
Аксессуары - PS3,2,Accessories - PS3.
Аксессуары - PS4,3,Accessories - PS4.
Аксессуары - PSP,4,Accessories - PSP.
Аксессуары - PSVita,5,Accessories - psvita.
Аксессуары - XBOX 360,6,Accessories - Xbox 360
Аксессуары - XBOX ONE,7,Accessories - Xbox One
Билеты (Цифра),8,Tickets (digit)
Доставка товара,9,Delivery of goods
Игровые консоли - PS2,10,Gaming Consoles - PS2
Игровые консоли - PS3,11,Gaming Consoles - PS3
Игровые консоли - PS4,12,Gaming Consoles - PS4
Игровые консоли - PSP,13,Gaming Consoles - PSP
Игровые консоли - PSVita,14,Gaming Consoles - Psvita
Игровые консоли - XBOX 360,15,Gaming Consoles - Xbox 360
Игровые консоли - XBOX ONE,16,Gaming Consoles - Xbox One
Игровые консоли - Прочие,17,Gaming consoles - Other
Игры - PS2,18,Games - PS2.
Игры - PS3,19,Games - PS3.
Игры - PS4,20,Games - PS4
Игры - PSP,21,Games - PSP.
Игры - PSVita,22,Games - psvita.
Игры - XBOX 360,23,Games - Xbox 360
Игры - XBOX ONE,24,Игры - XBOX ONE
Игры - Аксессуары для игр,25,Games - Accessories for games
Игры Android - Цифра,26,Android games - digit
Игры MAC - Цифра,27,MAC games - digit
Игры PC - Дополнительные издания,28,PC Games - Additional Editions
Игры PC - Коллекционные издания,29,PC Games - Collectible Editions
Игры PC - Стандартные издания,30,PC Games - Standard Editions
Игры PC - Цифра,31,PC games - digit
"Карты оплаты (Кино, Музыка, Игры)",32,"Payment cards (cinema, music, games)"
Карты оплаты - Live!,33,Payment cards - Live!
Карты оплаты - Live! (Цифра),34,Payment cards - Live!(Number)
Карты оплаты - PSN,35,Payment cards - PSN
Карты оплаты - Windows (Цифра),36,Payment cards - Windows (digit)
Кино - Blu-Ray,37,Film - Blu-ray
Кино - Blu-Ray 3D,38,Cinema - Blu-ray 3D
Кино - Blu-Ray 4K,39,Cinema - Blu-Ray 4K
Кино - DVD,40,Cinema - DVD.
Кино - Коллекционное,41,Cinema - collectivity
"Книги - Артбуки, энциклопедии",42,"Books - Artbooks, Encyclopedia"
Книги - Аудиокниги,43,Books - audiobooks
Книги - Аудиокниги (Цифра),44,Books - Audiobooks (Figure)
Книги - Аудиокниги 1С,45,Books - Audiobooks 1C
Книги - Бизнес литература,46,Books - Business Literature
"Книги - Комиксы, манга",47,"Books - Comics, Manga"
Книги - Компьютерная литература,48,Books - Computer Literature
Книги - Методические материалы 1С,49,Books - Methodological materials 1C
Книги - Открытки,50,Books - postcards
Книги - Познавательная литература,51,Books - Cognitive Literature
Книги - Путеводители,52,Books - guidebooks
Книги - Художественная литература,53,Books - Fiction
Книги - Цифра,54,Books - Number
Музыка - CD локального производства,55,Music - Local Production CD
Музыка - CD фирменного производства,56,Music - CD corporate production
Музыка - MP3,57,Music - mp3
Музыка - Винил,58,Music - Vinyl
Музыка - Музыкальное видео,59,Music - Music Video
Музыка - Подарочные издания,60,Music - Gift Editions
Подарки - Атрибутика,61,Gifts - attributes
"Подарки - Гаджеты, роботы, спорт",62,"Gifts - Gadgets, Robots, Sports"
Подарки - Мягкие игрушки,63,Gifts - Soft Toys
Подарки - Настольные игры,64,Gifts - Board Games
Подарки - Настольные игры (компактные),65,Gifts - Board Games (Compact)
"Подарки - Открытки, наклейки",66,"Gifts - Postcards, Stickers"
Подарки - Развитие,67,Gifts - Development
"Подарки - Сертификаты, услуги",68,"Gifts - Certificates, Services"
Подарки - Сувениры,69,Gifts - Souvenirs
Подарки - Сувениры (в навеску),70,Gifts - Souvenirs (in the hitch)
"Подарки - Сумки, Альбомы, Коврики д/мыши",71,"Gifts - Bags, Albums, Rugs D / Mouse"
Подарки - Фигурки,72,Gifts - Figures
Программы - 1С:Предприятие 8,73,Programs - 1C: Enterprise 8
Программы - MAC (Цифра),74,Programs - Mac (digit)
Программы - Для дома и офиса,75,Programs - for home and office
Программы - Для дома и офиса (Цифра),76,Programs - for home and office (digit)
Программы - Обучающие,77,Programs - training
Программы - Обучающие (Цифра),78,Programs - Educational (Digit)
Служебные,79,Service
Служебные - Билеты,80,Service - Tickets
Чистые носители (шпиль),81,Clean media (spire)
Чистые носители (штучные),82,Clean media (piece)
Элементы питания,83,Power elements
