item_name,item_id,item_category_id,translated_item_name
! ВО ВЛАСТИ НАВАЖДЕНИЯ (ПЛАСТ.)         D,0,40,LuckyIn the power of the puff (layer.) D
"!ABBYY FineReader 12 Professional Edition Full [PC, Цифровая версия]",1,76,"! ABBYY FineReader 12 Professional Edition Full [PC, digital version]"
***В ЛУЧАХ СЛАВЫ   (UNV)                    D,2,40,*** In the rays of glory (UNV) D
***ГОЛУБАЯ ВОЛНА  (Univ)                      D,3,40,*** Blue Wave (Univ) D
***КОРОБКА (СТЕКЛО)                       D,4,40,*** Box (Glass) D
***НОВЫЕ АМЕРИКАНСКИЕ ГРАФФИТИ  (UNI)             D,5,40,*** New American Graffiti (UNI) D
***УДАР ПО ВОРОТАМ (UNI)               D,6,40,*** Punch on goal (UNI) D
***УДАР ПО ВОРОТАМ-2 (UNI)               D,7,40,*** Punch on goal-2 (UNI) D
***ЧАЙ С МУССОЛИНИ                     D,8,40,*** Tea with Mussolini D
***ШУГАРЛЭНДСКИЙ ЭКСПРЕСС (UNI)             D,9,40,*** Shugarland Express (UNI) D
*ЗА ГРАНЬЮ СМЕРТИ                       D,10,40,* Beyond the death of D
*ЛИНИЯ СМЕРТИ                           D,11,40,* Line lax d
*МИХЕЙ И ДЖУМАНДЖИ  Сука любовь,12,55,* Micah and Jumanji Bitch Love
*СПАСАЯ ЭМИЛИ                           D,13,40,* Saving Emily D
*ЧОКНУТЫЙ ПРОФЕССОР /МАГИЯ/             D,14,40,* Nutty Professor / Magic / D
//АДРЕНАЛИН: ОДИН ПРОТИВ ВСЕХ (Регион),15,40,// Adrenaline: one against everyone (region)
//МОНГОЛ С.Бодров (Регион),16,40,// MONG S. Bodov (region)
//НЕ ОСТАВЛЯЮЩИЙ СЛЕДА (Регион),17,40,// No leaving track (region)
/БОМБА ДЛЯ НЕВЕСТЫ /2DVD/               D,18,40,/ Bomb for the Bride / 2DVD / D
/ЗОЛОТАЯ КОЛЛЕКЦИЯ м/ф-72,19,40,/ Gold Collection M / F-72
/ОДНАЖДЫ В КИТАЕ-2,20,40,/ Once in China-2
/ПОСЛЕДНИЙ ШАНС,21,40,/LAST CHANCE
/ПРОКЛЯТЬЕ ЭЛЬ ЧАРРО,22,40,/ Curse El Charro
/СЕВЕР И ЮГ /Ч.2/,23,40,/ North and south / ch.2/
