shop_name,shop_id,translated_shop_name
"!Якутск Орджоникидзе, 56 фран",0,"! Yakutsk Ordzhonikidze, 56 Fran"
"!Якутск ТЦ ""Центральный"" фран",1,"! Yakutsk shopping center ""Central"" Fran"
"Адыгея ТЦ ""Мега""",2,"Adygea TC ""Mega"""
"Балашиха ТРК ""Октябрь-Киномир""",3,"Balashikha TRK ""October-Kinomir"""
"Волжский ТЦ ""Волга Молл""",4,"Volzhsky shopping center ""Volga Mall"""
"Вологда ТРЦ ""Мармелад""",5,"Vologda TRC ""Marmalad"""
"Воронеж (Плехановская, 13)",6,"Voronezh (Plekhanovskaya, 13)"
"Воронеж ТРЦ ""Максимир""",7,"Voronezh Trec ""Maximir"""
"Воронеж ТРЦ Сити-Парк ""Град""",8,"Voronež TRC City Park ""Town"""
Выездная Торговля,9,Exit trade
Жуковский ул. Чкалова 39м?,10,Zhukovsky ul.Chkalova 39m?
Жуковский ул. Чкалова 39м²,11,Zhukovsky ul.Chkalova 39m²
Интернет-магазин ЧС,12,Online store emergency
"Казань ТЦ ""Бехетле""",13,"Kazan TC ""BEHETLE"""
"Казань ТЦ ""ПаркХаус"" II",14,"Kazan shopping center ""Parkhouse"" II"
"Калуга ТРЦ ""XXI век""",15,"Kaluga TPC ""XXI Century"""
"Коломна ТЦ ""Рио""",16,"Kolo TC ""RIO"""
"Красноярск ТЦ ""Взлетка Плаза""",17,"Krasnoyarsk shopping center ""Plaza Upbet"""
"Красноярск ТЦ ""Июнь""",18,"Krasnoyarsk TC ""June"""
"Курск ТЦ ""Пушкинский""",19,"Kursk shopping center ""Pushkinsky"""
"Москва ""Распродажа""",20,"Moscow ""Sale"""
"Москва МТРЦ ""Афи Молл""",21,"Moscow MTRTS ""AFI MALL"""
Москва Магазин С21,22,Moscow Shop C21
"Москва ТК ""Буденовский"" (пав.А2)",23,"Moscow TK ""Budenovsky"" (Pav.A2)"
"Москва ТК ""Буденовский"" (пав.К7)",24,"Moscow TC ""Budenovsky"" (Pav.K7)"
"Москва ТРК ""Атриум""",25,"Moscow TRK ""Atrium"""
"Москва ТЦ ""Ареал"" (Беляево)",26,"Moscow TC ""Areal"" (Belyaevo)"
"Москва ТЦ ""МЕГА Белая Дача II""",27,"Moscow shopping center ""Mega White Dacha II"""
"Москва ТЦ ""МЕГА Теплый Стан"" II",28,"Moscow shopping center ""Mega Teply Stan"" II"
"Москва ТЦ ""Новый век"" (Новокосино)",29,"Moscow shopping center ""New Century"" (Novokosino)"
"Москва ТЦ ""Перловский""",30,"Moscow TC ""Perlovski"""
"Москва ТЦ ""Семеновский""",31,"Moscow TC ""Semenovsky"""
"Москва ТЦ ""Серебряный Дом""",32,"Moscow TC ""Silver House"""
"Мытищи ТРК ""XL-3""",33,"Mytishchi TRK ""XL-3"""
"Н.Новгород ТРЦ ""РИО""",34,"N.Novgorod TK ""Rio"""
"Н.Новгород ТРЦ ""Фантастика""",35,"N.Novgorod TRC ""Fantasy"""
"Новосибирск ТРЦ ""Галерея Новосибирск""",36,"Novosibirsk shopping center ""Gallery Novosibirsk"""
"Новосибирск ТЦ ""Мега""",37,"Novosibirsk TC ""Mega"""
"Омск ТЦ ""Мега""",38,"Omsk Tc ""Mega"""
"РостовНаДону ТРК ""Мегацентр Горизонт""",39,"Rostov at Don TRK ""Megatcenter Horizon"""
"РостовНаДону ТРК ""Мегацентр Горизонт"" Островной",40,"Rostopnadon TRK ""Megcenter Horizon"" island"
"РостовНаДону ТЦ ""Мега""",41,"Rostovnadon Tc ""Mega"""
"СПб ТК ""Невский Центр""",42,"SPB TK ""Nevsky Center"""
"СПб ТК ""Сенная""",43,"SPB TK ""SENS"""
"Самара ТЦ ""Мелодия""",44,"Samara Tz ""Melody"""
"Самара ТЦ ""ПаркХаус""",45,"Samara TC ""Parkhaus"""
"Сергиев Посад ТЦ ""7Я""",46,"Sergiev Pozad TC ""7I"""
"Сургут ТРЦ ""Сити Молл""",47,"Surgut TRC ""City Mall"""
"Томск ТРЦ ""Изумрудный Город""",48,"Tomsk TRC ""Emerald City"""
"Тюмень ТРЦ ""Кристалл""",49,"Tyumen shopping center ""Crystal"""
"Тюмень ТЦ ""Гудвин""",50,"Tyumen shopping center ""Goodwin"""
"Тюмень ТЦ ""Зеленый Берег""",51,"Tyumen shopping center ""Green Beach"""
"Уфа ТК ""Центральный""",52,"Ufa TC ""Central"""
"Уфа ТЦ ""Семья"" 2",53,"Ufa TC ""Family"" 2"
"Химки ТЦ ""Мега""",54,"Himki Tc ""Mega"""
Цифровой склад 1С-Онлайн,55,1c-online digital warehouse
"Чехов ТРЦ ""Карнавал""",56,"Chekhov shopping center ""Carnival"""
"Якутск Орджоникидзе, 56",57,"Yakutsk Ordzhonikidze, 56"
"Якутск ТЦ ""Центральный""",58,"Yakutsk shopping center ""Central"""
"Ярославль ТЦ ""Альтаир""",59,"Yaroslavl shopping center ""Altair"""
