feature_name,group_name,group_id,feature_dtype,feature_type
date_block_num,Accessories,0,int64,generic
item_id,Accessories,0,int64,id
shop_id,Accessories,0,int64,id
item_price,Accessories,0,float64,price
item_category_id,Accessories,0,int64,id
count_item_week_shop,Accessories,0,float64,generic
price_mean_week_category,Accessories,0,float64,price
price_lag_item_1,Accessories,0,float64,lag price
price_lag_item_4,Accessories,0,float64,lag price
price_lag_item_12,Accessories,0,float64,lag price
price_lag_item_24,Accessories,0,float64,lag price
price_lag_item_shop_1,Accessories,0,float64,lag price
price_lag_item_shop_4,Accessories,0,float64,lag price
price_lag_item_shop_12,Accessories,0,float64,lag price
price_lag_item_shop_24,Accessories,0,float64,lag price
week_block_num,Accessories,0,int64,generic
month,Accessories,0,int64,generic
seasonal_index,Accessories,0,float64,seasonality
priceratio_parent_category,Accessories,0,float64,price ratio
priceratio_item_category_2,Accessories,0,float64,price ratio
priceratio_item_category_3,Accessories,0,float64,price ratio
priceratio_item_category_4,Accessories,0,float64,price ratio
priceratio_item_category_5,Accessories,0,float64,price ratio
priceratio_item_category_6,Accessories,0,float64,price ratio
date_block_num,Gifts,10,int64,generic
item_id,Gifts,10,int64,id
shop_id,Gifts,10,int64,id
item_price,Gifts,10,float64,price
item_category_id,Gifts,10,int64,id
count_item_week_shop,Gifts,10,float64,generic
price_mean_week_category,Gifts,10,float64,price
price_lag_item_1,Gifts,10,float64,lag price
price_lag_item_4,Gifts,10,float64,lag price
price_lag_item_12,Gifts,10,float64,lag price
price_lag_item_24,Gifts,10,float64,lag price
price_lag_item_shop_1,Gifts,10,float64,lag price
price_lag_item_shop_4,Gifts,10,float64,lag price
price_lag_item_shop_12,Gifts,10,float64,lag price
price_lag_item_shop_24,Gifts,10,float64,lag price
week_block_num,Gifts,10,int64,generic
month,Gifts,10,int64,generic
seasonal_index,Gifts,10,float64,seasonality
priceratio_parent_category,Gifts,10,float64,price ratio
priceratio_item_category_44,Gifts,10,float64,price ratio
priceratio_item_category_45,Gifts,10,float64,price ratio
priceratio_item_category_46,Gifts,10,float64,price ratio
priceratio_item_category_47,Gifts,10,float64,price ratio
priceratio_item_category_49,Gifts,10,float64,price ratio
priceratio_item_category_54,Gifts,10,float64,price ratio
priceratio_item_category_55,Gifts,10,float64,price ratio
date_block_num,Mac Games,11,int64,generic
item_id,Mac Games,11,int64,id
shop_id,Mac Games,11,int64,id
item_price,Mac Games,11,float64,price
item_category_id,Mac Games,11,int64,id
count_item_week_shop,Mac Games,11,float64,generic
price_mean_week_category,Mac Games,11,float64,price
price_lag_item_1,Mac Games,11,float64,lag price
price_lag_item_4,Mac Games,11,float64,lag price
price_lag_item_12,Mac Games,11,float64,lag price
price_lag_item_24,Mac Games,11,float64,lag price
price_lag_item_shop_1,Mac Games,11,float64,lag price
price_lag_item_shop_4,Mac Games,11,float64,lag price
price_lag_item_shop_12,Mac Games,11,float64,lag price
price_lag_item_shop_24,Mac Games,11,float64,lag price
week_block_num,Mac Games,11,int64,generic
month,Mac Games,11,int64,generic
seasonal_index,Mac Games,11,float64,seasonality
priceratio_parent_category,Mac Games,11,float64,price ratio
priceratio_item_category_56,Mac Games,11,float64,price ratio
date_block_num,Music,12,int64,generic
item_id,Music,12,int64,id
shop_id,Music,12,int64,id
item_price,Music,12,float64,price
item_category_id,Music,12,int64,id
count_item_week_shop,Music,12,float64,generic
price_mean_week_category,Music,12,float64,price
price_lag_item_1,Music,12,float64,lag price
price_lag_item_4,Music,12,float64,lag price
price_lag_item_12,Music,12,float64,lag price
price_lag_item_24,Music,12,float64,lag price
price_lag_item_shop_1,Music,12,float64,lag price
price_lag_item_shop_4,Music,12,float64,lag price
price_lag_item_shop_12,Music,12,float64,lag price
price_lag_item_shop_24,Music,12,float64,lag price
week_block_num,Music,12,int64,generic
month,Music,12,int64,generic
seasonal_index,Music,12,float64,seasonality
priceratio_parent_category,Music,12,float64,price ratio
priceratio_item_category_57,Music,12,float64,price ratio
priceratio_item_category_58,Music,12,float64,price ratio
priceratio_item_category_59,Music,12,float64,price ratio
priceratio_item_category_60,Music,12,float64,price ratio
priceratio_item_category_61,Music,12,float64,price ratio
priceratio_item_category_62,Music,12,float64,price ratio
date_block_num,Pc,13,int64,generic
item_id,Pc,13,int64,id
shop_id,Pc,13,int64,id
item_price,Pc,13,float64,price
item_category_id,Pc,13,int64,id
count_item_week_shop,Pc,13,float64,generic
price_mean_week_category,Pc,13,float64,price
price_lag_item_1,Pc,13,float64,lag price
price_lag_item_4,Pc,13,float64,lag price
price_lag_item_12,Pc,13,float64,lag price
price_lag_item_24,Pc,13,float64,lag price
price_lag_item_shop_1,Pc,13,float64,lag price
price_lag_item_shop_4,Pc,13,float64,lag price
price_lag_item_shop_12,Pc,13,float64,lag price
price_lag_item_shop_24,Pc,13,float64,lag price
week_block_num,Pc,13,int64,generic
month,Pc,13,int64,generic
seasonal_index,Pc,13,float64,seasonality
priceratio_parent_category,Pc,13,float64,price ratio
priceratio_item_category_63,Pc,13,float64,price ratio
date_block_num,Pc Games,14,int64,generic
item_id,Pc Games,14,int64,id
shop_id,Pc Games,14,int64,id
item_price,Pc Games,14,float64,price
item_category_id,Pc Games,14,int64,id
count_item_week_shop,Pc Games,14,float64,generic
price_mean_week_category,Pc Games,14,float64,price
price_lag_item_1,Pc Games,14,float64,lag price
price_lag_item_4,Pc Games,14,float64,lag price
price_lag_item_12,Pc Games,14,float64,lag price
price_lag_item_24,Pc Games,14,float64,lag price
price_lag_item_shop_1,Pc Games,14,float64,lag price
price_lag_item_shop_4,Pc Games,14,float64,lag price
price_lag_item_shop_12,Pc Games,14,float64,lag price
price_lag_item_shop_24,Pc Games,14,float64,lag price
week_block_num,Pc Games,14,int64,generic
month,Pc Games,14,int64,generic
seasonal_index,Pc Games,14,float64,seasonality
priceratio_parent_category,Pc Games,14,float64,price ratio
priceratio_item_category_64,Pc Games,14,float64,price ratio
priceratio_item_category_65,Pc Games,14,float64,price ratio
priceratio_item_category_66,Pc Games,14,float64,price ratio
priceratio_item_category_67,Pc Games,14,float64,price ratio
date_block_num,"Payment Cards (Cinema, Music, Games)",15,int64,generic
item_id,"Payment Cards (Cinema, Music, Games)",15,int64,id
shop_id,"Payment Cards (Cinema, Music, Games)",15,int64,id
item_price,"Payment Cards (Cinema, Music, Games)",15,float64,price
item_category_id,"Payment Cards (Cinema, Music, Games)",15,int64,id
count_item_week_shop,"Payment Cards (Cinema, Music, Games)",15,float64,generic
price_mean_week_category,"Payment Cards (Cinema, Music, Games)",15,float64,price
price_lag_item_1,"Payment Cards (Cinema, Music, Games)",15,float64,lag price
price_lag_item_4,"Payment Cards (Cinema, Music, Games)",15,float64,lag price
price_lag_item_12,"Payment Cards (Cinema, Music, Games)",15,float64,lag price
price_lag_item_24,"Payment Cards (Cinema, Music, Games)",15,float64,lag price
price_lag_item_shop_1,"Payment Cards (Cinema, Music, Games)",15,float64,lag price
price_lag_item_shop_4,"Payment Cards (Cinema, Music, Games)",15,float64,lag price
price_lag_item_shop_12,"Payment Cards (Cinema, Music, Games)",15,float64,lag price
price_lag_item_shop_24,"Payment Cards (Cinema, Music, Games)",15,float64,lag price
week_block_num,"Payment Cards (Cinema, Music, Games)",15,int64,generic
month,"Payment Cards (Cinema, Music, Games)",15,int64,generic
seasonal_index,"Payment Cards (Cinema, Music, Games)",15,float64,seasonality
priceratio_parent_category,"Payment Cards (Cinema, Music, Games)",15,float64,price ratio
priceratio_item_category_68,"Payment Cards (Cinema, Music, Games)",15,float64,price ratio
date_block_num,Payment Cards,16,int64,generic
item_id,Payment Cards,16,int64,id
shop_id,Payment Cards,16,int64,id
item_price,Payment Cards,16,float64,price
item_category_id,Payment Cards,16,int64,id
count_item_week_shop,Payment Cards,16,float64,generic
price_mean_week_category,Payment Cards,16,float64,price
price_lag_item_1,Payment Cards,16,float64,lag price
price_lag_item_4,Payment Cards,16,float64,lag price
price_lag_item_12,Payment Cards,16,float64,lag price
price_lag_item_24,Payment Cards,16,float64,lag price
price_lag_item_shop_1,Payment Cards,16,float64,lag price
price_lag_item_shop_4,Payment Cards,16,float64,lag price
price_lag_item_shop_12,Payment Cards,16,float64,lag price
price_lag_item_shop_24,Payment Cards,16,float64,lag price
week_block_num,Payment Cards,16,int64,generic
month,Payment Cards,16,int64,generic
seasonal_index,Payment Cards,16,float64,seasonality
priceratio_parent_category,Payment Cards,16,float64,price ratio
priceratio_item_category_69,Payment Cards,16,float64,price ratio
priceratio_item_category_70,Payment Cards,16,float64,price ratio
